LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,CONFIDENCE,ORG,TUMBOON,AUMPER,PROVINCE,NAME,ZONE 
10.14286,99.02768,503032,1121208,47P,17/02/2019,1312,S,1,NASA,นาสัก,สวี,ชุมพร,เกษตรกรรม,AGI
10.85079,99.39114,542751,1199509,47P,17/02/2019,1312,S,1,NASA,ดอนยาง,ปะทิว,ชุมพร,เกษตรกรรม,AGI
13.73058,101.72398,794603,1519593,47P,17/02/2019,1312,S,1,NASA,ทุ่งพระยา,สนามชัยเขต,ฉะเชิงเทรา,เกษตรกรรม,AGI
13.76275,101.31696,750526,1522693,47P,17/02/2019,1312,S,1,NASA,พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,เกษตรกรรม,AGI
13.76351,101.32145,751011,1522782,47P,17/02/2019,1312,S,1,NASA,พนมสารคาม,พนมสารคาม,ฉะเชิงเทรา,เกษตรกรรม,AGI
13.78439,101.62283,783592,1525429,47P,17/02/2019,1312,S,1,NASA,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,เกษตรกรรม,AGI
13.78524,101.62553,783883,1525526,47P,17/02/2019,1312,S,1,NASA,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,เกษตรกรรม,AGI
14.02578,101.41121,760428,1551906,47P,17/02/2019,1312,S,1,NASA,ท่างาม,เมืองปราจีนบุรี,ปราจีนบุรี,เกษตรกรรม,AGI
14.51553,101.77095,798660,1606554,47P,17/02/2019,1312,S,1,NASA,วังหมี,วังน้ำเขียว,นครราชสีมา,เกษตรกรรม,AGI
14.83952,100.84198,698203,1641392,47P,17/02/2019,1312,S,1,NASA,โคกตูม,เมืองลพบุรี,ลพบุรี,เกษตรกรรม,AGI
14.84326,100.84129,698126,1641806,47P,17/02/2019,1312,S,1,NASA,โคกตูม,เมืองลพบุรี,ลพบุรี,เกษตรกรรม,AGI
14.85156,99.30347,532648,1641930,47P,17/02/2019,1312,S,1,NASA,องค์พระ,ด่านช้าง,สุพรรณบุรี,เกษตรกรรม,AGI
